ID_Bloque;Orden;Pagina_Referencia;Seccion;Titulo;Texto_Base;Tipo_Bloque;Variables;Fuente_Datos;Mostrar;Observacion_Interna
CON_003;32;1;CONSIDERANDOS;CONSTITUCION_ART_66_321;"Que, el numeral 2 del artículo 66 de la Carta Magna reconoce y garantiza a las personas el derecho a una vida digna que asegure la vivienda y otros servicios sociales necesarios; en armonía con el numeral 26 del artículo 66 del mismo cuerpo normativo, concordante con el artículo 321 de la Constitución de la República garantizan a las personas el derecho a la propiedad en todas sus formas, con función y responsabilidad social y ambiental. (Énfasis añadido);";FIJO;;CSV;SI;
CON_004;33;1;CONSIDERANDOS;CONSTITUCION_ART_264_COOTAD;"Que, el artículo 264 numerales 1 y 2 de la Carta Magna, en concordancia con los artículos 54 letra e); y, c); y el artículo 55 letras a) y b) Código Orgánico de Organización Territorial Autonomía y Descentralización, establecen que los gobiernos municipales tendrán, entre otras competencias exclusivas, la de planificar el desarrollo cantonal y formular los correspondientes planes de ordenamiento territorial, de manera articulada con la planificación nacional, regional, provincial y parroquial, con el fin de regular el uso y la ocupación del suelo urbano y rural; y, la de ejercer el control sobre el uso y ocupación del suelo en el cantón; además de establecer el régimen de uso del suelo y urbanístico, para lo cual determinará las condiciones de urbanización, parcelación, lotización, división o cualquier otra forma de fraccionamiento de conformidad con la planificación cantonal, asegurando porcentajes para zonas verdes y áreas comunales;";FIJO;;CSV;SI;
CON_005;34;1;CONSIDERANDOS;COOTAD_ART_54_O;"Que, la letra o) del artículo 54 del Código Orgánico de Organización Territorial Autonomía y Descentralización establece que una de las funciones del gobierno autónomo descentralizado municipal es “Regular y controlar las construcciones en la circunscripción cantonal, con especial atención a las normas de control y prevención de riesgos y desastres”. (Énfasis añadido);";FIJO;;CSV;SI;
CON_006;35;2;CONSIDERANDOS;LOOTUGS_ART_80;"Que, el artículo 80 de la Ley Orgánica de Ordenamiento Territorial Uso y Gestión de Suelo manifiesta: “Del control de la habitabilidad. Mientras dure la construcción, los gobiernos autónomos descentralizados municipales o metropolitanos deberán ejercer el control respecto de la habitabilidad de la edificación. El incumplimiento de esta obligación no exime al gobierno correspondiente de verificar que la obra terminada cumple con las normas aplicables, ni de disponer las medidas a que haya lugar de verificarse incumplimientos” (Énfasis añadido);";FIJO;;CSV;SI;
CON_007;36;2;CONSIDERANDOS;LOOTUGS_ART_91;"Que, los números 1, 2 y 6 artículo 91 de la Ley ibidem dice: “Atribuciones y Obligaciones de los Gobiernos Autónomos Descentralizados municipales y metropolitanos para el uso y la gestión del suelo. A los Gobiernos Autónomos Descentralizados municipales y metropolitanos, sin perjuicio de las competencias y facultades establecidas en la Constitución y la ley, les corresponden las siguientes atribuciones y obligaciones: 1) Expedir actos administrativos y normativos para el uso y la gestión del suelo, de conformidad con los principios y mecanismos previstos en el planeamiento urbanístico de su circunscripción territorial y la normativa vigente; 2) Aplicar los instrumentos de planeamiento urbanístico y las herramientas de gestión del suelo de forma concordante y articulada con los planes de desarrollo y ordenamiento territorial. Y 6) Emitir los permisos y autorizaciones para la habilitación e intervención del suelo y la construcción, de acuerdo con lo dispuesto por esta Ley, la normativa vigente y la planificación urbanística aplicable.” (Énfasis añadido);";FIJO;;CSV;SI;
CON_008;37;2;CONSIDERANDOS;ORDENANZA_ART_76;"Que, el Art. 76 de la Ordenanza Municipal N.º 016-2023 que Contiene la Actualización del Código Urbano publicada en la Edición Especial del Registro Oficial N.º 885 el 23 de mayo de 2023, indica: respecto de los Actos sujetos a la Licencia, Autorización o Aprobación Urbanística de Edificación (…) “Obras mayores, que por su naturaleza y especialización precisan para su definición de un Proyecto Técnico y que se refieren a edificaciones nuevas, que comprenden obras de reconstrucción, sustitución o ampliación”. (Énfasis añadido);";FIJO;;CSV;SI;
CON_009;38;2;CONSIDERANDOS;ORDENANZA_ART_92;"Que, el Art. 92 de la Ordenanza en análisis, indica: “De las Obras Mayores. - Son los procesos constructivos que por su naturaleza y especialización precisan para la obtención de Licencia Urbanística de edificación la presentación de un Proyecto Técnico, que merece un proceso de revisión por parte de la Autoridad Municipal”. (Énfasis añadido);";FIJO;;CSV;SI;
CON_010;39;2;CONSIDERANDOS;ORDENANZA_ART_93;"Que, el Art. 93 de la Ordenanza ibidem, “Las solicitudes de Licencia Urbanística de Edificación de Obras Mayores se tramitarán mediante procedimiento general. En el caso de propuestas de edificación de hasta dos pisos o 400 m2 la aprobación del anteproyecto de edificación será opcional, pudiendo solicitar el administrado directamente el otorgamiento de la Licencia Urbanística de Edificación de Obra Mayor”. (Énfasis añadido);";FIJO;;CSV;SI;
CON_011;40;2;CONSIDERANDOS;ORDENANZA_ART_94;"Que, el Art. 94 de la Ordenanza Municipal N.º 016-2023 que contiene la Actualización del Código Urbano publicada en la Edición Especial del Registro Oficial N.º 885 del 23 de mayo de 2023, determina los Requisitos para el Otorgamiento de la Licencia Urbanística de Edificación de Obras Mayores, siendo estos los requisitos generales y complementarios;";FIJO;;CSV;SI;
CON_012;41;2;CONSIDERANDOS;ORDENANZA_ART_95;"Que, el Art. 95 de la Ordenanza ibidem, establece el Contenido del Proyecto Técnico de Edificación de Obras Mayores, el cual deberá ser suscrito por el propietario del predio, el promotor en caso de que corresponda y los profesionales técnicos respectivos. “En el caso que el Proyecto de Edificación de Obra Mayor se desee declarar bajo régimen de propiedad horizontal, está deberá proyectarse conforme a lo establecido en las Normas de Arquitectura y Construcción, en la sección referente a propiedad horizontal. (Énfasis añadido);";FIJO;;CSV;SI;
CON_013;42;2;CONSIDERANDOS;ORDENANZA_ART_746_747;"Que, el Art. 746 y art 747 de la Ordenanza Municipal No. 016-2023 que contiene la Actualización del Código Urbano del cantón Riobamba establece las Infracciones graves en edificación e Infracciones leves en edificación;";FIJO;;CSV;SI;
CON_014;43;3;CONSIDERANDOS;CRITERIO_JURIDICO;Que, el Memorando Nro. {{MEMORANDO_CRITERIO_JURIDICO}}, contiene el criterio jurídico, mediante el cual se determina: “{{TEXTO_CRITERIO_JURIDICO}}”.;DINAMICO_CONFIG;MEMORANDO_CRITERIO_JURIDICO|TEXTO_CRITERIO_JURIDICO;CFG_006|CFG_007;SI;Permite cambiar el memorando o su texto sin tocar el index.
CON_015;44;3;CONSIDERANDOS;CERTIFICADO_GRAVAMEN;Que, del certificado de gravamen {{CERTIFICADO_GRAVAMEN}} y Ficha Registral Nro. {{FICHA_REGISTRAL}}, de fecha {{FECHA_GRAVAMEN_LARGA}}, firmado electrónicamente por {{REGISTRADOR_PROPIEDAD}}, Registrador de la Propiedad del Cantón Riobamba, se desprende que {{TRATAMIENTO_PROPIETARIO}} {{PROPIETARIOS_CON_DOCUMENTO}}, {{VERBO_PROPIEDAD}} {{CALIDAD_PROPIETARIO}} del bien inmueble situado en la parroquia {{PARROQUIA}} del cantón Riobamba, con un Área Total de {{AREA_TOTAL_CERTIFICADO_LETRAS}} ({{AREA_TOTAL_CERTIFICADO}} m2).;DINAMICO;CERTIFICADO_GRAVAMEN|FICHA_REGISTRAL|FECHA_GRAVAMEN_LARGA|REGISTRADOR_PROPIEDAD|TRATAMIENTO_PROPIETARIO|PROPIETARIOS_CON_DOCUMENTO|VERBO_PROPIEDAD|CALIDAD_PROPIETARIO|PARROQUIA|AREA_TOTAL_CERTIFICADO_LETRAS|AREA_TOTAL_CERTIFICADO;"Informe aprobado: gravamen, propietarios, parroquia; CFG_005";SI;Adapta singular/plural según cantidad de propietarios. El registrador se toma de configuración.
CON_016;45;3;CONSIDERANDOS;CRITERIO_ESTRUCTURAL;"Que, con Memorando Nro. {{DOCUMENTO_ESTRUCTURAL}}, de {{FECHA_DOCUMENTO_ESTRUCTURAL_LARGA}}, suscrito por {{TECNICO_ESTRUCTURAL}}, {{CARGO_TECNICO_ESTRUCTURAL}}, del que se desprende en la parte pertinente a las conclusiones: “Una vez realizada la revisión estructural solicitada, se emite CRITERIO TÉCNICO {{CRITERIO_ESTRUCTURAL}}, en lo referente al Cálculo y diseño estructural bajo firma de responsabilidad del Ingeniero Calculista. {{ING_CALCULISTA}}, Registro Senescyt {{REG_SENESCYT_CALCULISTA}}. (…)”;";DINAMICO;DOCUMENTO_ESTRUCTURAL|FECHA_DOCUMENTO_ESTRUCTURAL_LARGA|TECNICO_ESTRUCTURAL|CARGO_TECNICO_ESTRUCTURAL|CRITERIO_ESTRUCTURAL|ING_CALCULISTA|REG_SENESCYT_CALCULISTA;Informe: state.aprobatorio.estructural.documento|fecha|tecnico|criterio|calculista|senescyt;SI;FECHA_DOCUMENTO_ESTRUCTURAL proviene del nuevo state.aprobatorio.estructural.fecha.
CON_017;46;3;CONSIDERANDOS;CONCLUSION_TECNICA_MEMORANDO;"Que, mediante Memorando Nro. {{NUMERO_MEMORANDO_REMISION}}, de fecha {{FECHA_MEMORANDO_REMISION_LARGA}}, suscrito por {{TECNICO_INFORME}}, {{CARGO_TECNICO_INFORME}}, se desprende en la parte pertinente a las conclusiones: “{{CONCLUSION_TECNICA_INFORME}}”. Cabe indicar que el Proyecto Arquitectónico tiene un área a construir de {{AREA_PAGO_TASA}} m2, superficie correspondiente al pago de la tasa administrativa; (Énfasis añadido);";DINAMICO_ABOGADA;NUMERO_MEMORANDO_REMISION|FECHA_MEMORANDO_REMISION_LARGA|TECNICO_INFORME|CARGO_TECNICO_INFORME|CONCLUSION_TECNICA_INFORME|AREA_PAGO_TASA;"ABOGADA: memorando y fecha; Informe aprobado: técnico, cargo, conclusión técnica y área aplicable al pago";SI;"El memorando de remisión lo ingresa la abogada. Para ampliación/modificación, el área de pago prioriza el área de ampliación/modificación; en obra nueva usa el área total de construcción."
CON_018;47;3;CONSIDERANDOS;INFORME_TECNICO_APROBATORIO;Que, una vez conocido el Informe Técnico Aprobatorio Nro. {{NUMERO_INFORME_APROBATORIO}} de Licencia Urbanística de Obra Mayor, suscrito por {{TECNICO_INFORME}}, {{CARGO_TECNICO_INFORME}}, se autoriza la emisión de cartas por el área de construcción para el pago de la tasa administrativa de acuerdo a la Ordenanza No. 020- 2017 la cual determina el valor y cobro de tasas por servicios administrativos en el Gobierno Autónomo Descentralizado Municipal del Cantón Riobamba, con la finalidad de continuar con el proceso correspondiente.;DINAMICO;NUMERO_INFORME_APROBATORIO|TECNICO_INFORME|CARGO_TECNICO_INFORME;phdu_informes_aprobatorios.numero_formateado|tecnico_nombre + phdu_profiles.firma_cargo;SI;
CON_019;48;3;CONSIDERANDOS;COMPROBANTE_PAGO;"Que, se adjuntó el comprobante de pago Nro. {{NUMERO_COMPROBANTE}}, de fecha {{FECHA_COMPROBANTE_LARGA}}, por un valor de ${{VALOR_COMPROBANTE}}, correspondiente a {{CONCEPTO_COMPROBANTE}};";DINAMICO_ABOGADA;NUMERO_COMPROBANTE|FECHA_COMPROBANTE_LARGA|VALOR_COMPROBANTE|CONCEPTO_COMPROBANTE;phdu_resoluciones: datos ingresados por la abogada;SI;
RES_001;60;3;RESUELVE;PUENTE_RESUELVE;"Enunciadas las normas y principios jurídicos en que se fundamenta la presente resolución; explicada la pertinencia de su aplicación a los antecedentes de hecho SE RESUELVE:";FIJO;;CSV;SI;
RES_002;61;3;RESUELVE;OTORGAR;"OTORGAR LA LICENCIA URBANÍSTICA DE OBRA MAYOR PROYECTO DEFINITIVO{{TIPO_OBRA_RESUELVE_FRAGMENTO}}, USO {{USO_PROYECTO}}; A FAVOR DE {{TRATAMIENTO_PROPIETARIO_MAYUS}} {{PROPIETARIO_NOMBRE_MAYUS}}; al tenor de las siguientes cláusulas:";DINAMICO;TIPO_OBRA_RESUELVE_FRAGMENTO|USO_PROYECTO|TRATAMIENTO_PROPIETARIO_MAYUS|PROPIETARIO_NOMBRE_MAYUS;Informe aprobado: tipo_obra, uso, propietarios;SI;En OBRA NUEVA no agrega subtipo. En ampliación/modificación incorpora el tipo de intervención, como en la resolución firmada de ejemplo.
ART_001;70;3-4;ARTICULOS;ARTICULO_1_OTORGAMIENTO;Artículo 1.- Otorgamiento. - Una vez procedido con el respectivo pago de aprobación de planos de construcción y por encontrarse de conformidad a los requisitos contenidos en los Artículos 93 y 94 de la Ordenanza Municipal No. 016-2023 que contiene la Actualización del Código Urbano para el Cantón Riobamba, se otorga la LICENCIA URBANÍSTICA DE OBRA MAYOR, PROYECTO DEFINITIVO{{TIPO_OBRA_ARTICULO_FRAGMENTO}}, uso {{USO_PROYECTO}}, altura de edificación {{PISOS_LETRAS}} ({{PISOS}}) pisos, propiedad de {{TRATAMIENTO_PROPIETARIO}} {{PROPIETARIOS_CON_DOCUMENTO}}, predio ubicado en la parroquia {{PARROQUIA}}, sector {{SECTOR}}, {{DIRECCION_PREDIO}}, código PIT {{CODIGO_PIT}}, clave catastral {{CLAVE_CATASTRAL}}, proyectista {{PROYECTISTA_NOMBRE}}, con registro Senescyt {{PROYECTISTA_SENESCYT}}, registro municipal {{PROYECTISTA_REGISTRO_MUNICIPAL}}.;DINAMICO;TIPO_OBRA_ARTICULO_FRAGMENTO|USO_PROYECTO|PISOS_LETRAS|PISOS|TRATAMIENTO_PROPIETARIO|PROPIETARIOS_CON_DOCUMENTO|PARROQUIA|SECTOR|DIRECCION_PREDIO|CODIGO_PIT|CLAVE_CATASTRAL|PROYECTISTA_NOMBRE|PROYECTISTA_SENESCYT|PROYECTISTA_REGISTRO_MUNICIPAL;Informe Técnico Aprobatorio / Supabase;SI;Para varios propietarios inserta cada nombre con su documento. Se usa código PIT, conforme al ejemplo firmado actual.
ART_002;71;4;ARTICULOS;ARTICULO_2_VIGENCIA;"Artículo 2.- Vigencia. - El propietario(a) del inmueble tendrá un plazo de 2 años, contados a partir de la notificación con la presente Resolución Administrativa; para dar inicio a las actividades encaminadas a ejecutar la Obra debiendo notificar el inicio de los mencionados actos o actuaciones, en caso de no existir dicha notificación dentro del plazo establecido la Licencia caducará y por ende se entenderá por extinguido el derecho. Una vez notificado el inicio de los actos o actuaciones, la vigencia de la licencia será de tres años.";FIJO;;CSV;SI;
ART_003;72;4;ARTICULOS;ARTICULO_3_SANCIONES;"Artículo 3.- Sanciones. - El propietario(a) edificará de conformidad a los planos aprobados y que constituyen habilitantes de la presente Resolución Administrativa; así como también a la Norma Ecuatoriana de Construcción; el incumplimiento a dicha disposición será sancionado de conformidad al Libro V Del Régimen Sancionador determinado en la Ordenanza Municipal N.º 016-2023 que contiene la actualización del Código Urbano publicada en la Edición Especial del Registro Oficial N.º 885 del 23 de mayo de 2023.";FIJO;;CSV;SI;
ART_004;73;4;ARTICULOS;ARTICULO_4_INICIO_OBRAS;Artículo 4.- Inicio de ejecución de obras.- Se recuerda al propietario(a) del inmueble que deberá poner obligatoriamente en conocimiento a la Dirección General de Gestión de Justicia y Control Municipal, conforme a la nueva estructura orgánica institucional, el inicio de la ejecución de obras, por cuanto dicha Dirección constituye la unidad competente para regular y controlar el inicio del proceso constructivo de las edificaciones autorizadas.;FIJO;;CSV;SI;
ART_005;74;4;ARTICULOS;ARTICULO_5_PRORROGA;"Artículo 5.- Prórroga. - Los plazos establecidos en las Licencias, podrán prorrogarse a solicitud presentada por el titular antes del vencimiento de su vigencia; en cualquier caso, la prórroga sólo podrá concederse por una sola vez y por un plazo que no sea superior al 50% del inicialmente otorgado. La petición de la persona interesada y la decisión de prórroga o ampliación se producirán antes del vencimiento del plazo. En ningún caso se ampliará un término o plazo ya vencido. La prórroga no supondrá modificación alguna de la Licencia, Autorización o Aprobación Urbanística.";FIJO;;CSV;SI;
ART_006;75;4;ARTICULOS;ARTICULO_6_TITULO;Artículo 6.- Notificaciones. –;FIJO;;CSV;SI;
ART_006_A;76;4;ARTICULOS;ARTICULO_6_LITERAL_A;a) Notifíquese a {{TRATAMIENTO_ADMINISTRADO}} {{PROPIETARIO_NOMBRE}}, por medio de ventanilla de atención ciudadana y a la dirección electrónica: {{CORREO_NOTIFICACION}}, perteneciente al proyectista a cargo para recibir notificaciones, a quien se le conmina revise el presente acto administrativo de conformidad al Art. 133 del Código Orgánico Administrativo, a fin de que pueda solicitar aclaraciones, rectificaciones y subsanaciones, a los que hubiere lugar por concepto dudoso u oscuro, rectificación o subsanar los errores de copia, de referencia, de cálculos numéricos y, en general, los puramente materiales o de hecho que aparezcan de manifiesto en la presente resolución, dentro de los tres días siguientes al de la notificación.;DINAMICO_ABOGADA;TRATAMIENTO_ADMINISTRADO|PROPIETARIO_NOMBRE|CORREO_NOTIFICACION;"Informe: propietarios; ABOGADA: correo confirmado";SI;"Adapta administrada/administrado/administrados mediante el tratamiento seleccionado; los nombres se listan juntos."
ART_006_B;77;4;ARTICULOS;ARTICULO_6_LITERAL_B;"b) La Notificación realizada a través del código QR será de uso obligatorio para el administrado y proyectista a cargo, para el seguimiento y control correspondiente; a fin de optimizar la gestión de los trámites administrativos.";FIJO;;CSV;SI;
DIS_001;80;4;DISPOSICION_FINAL;DISPOSICION_FINAL;DISPOSICIÓN FINAL: En el caso de que se vaya a utilizar vía y espacio público, el administrado(a) presentará una copia de esta Resolución Administrativa a la Dirección de Justicia y Control Municipal, a efecto de que sea otorgado el correspondiente permiso de cierre parcial o total de la vía, en razón de la necesidad por la ejecución de la obra y según lo contemplado en la ordenanza 006-2017.;FIJO;;CSV;SI;
CIE_001;90;5;CIERRE;NOTIFIQUESE;NOTIFÍQUESE Y CÚMPLASE. –;FIJO;;CSV;SI;
CIE_002;91;5;CIERRE;FECHA_RESOLUCION;Riobamba, {{FECHA_RESOLUCION_LARGA}}.;DINAMICO;FECHA_RESOLUCION_LARGA;phdu_resoluciones.fecha_resolucion;SI;
FIR_001;92;5;FIRMAS;ELABORADO_POR;Elaborado por:|{{ABOGADA_FIRMA_NOMBRE}}|{{ABOGADA_FIRMA_CARGO}};FIRMA_DINAMICA;ABOGADA_FIRMA_NOMBRE|ABOGADA_FIRMA_CARGO;phdu_profiles.firma_nombre|firma_cargo del usuario ABOGADA;SI;El carácter | separa las líneas/celdas del bloque de firma.
FIR_002;93;5;FIRMAS;APROBADO_POR;Aprobado por:|{{DIRECTOR_NOMBRE}}|{{DIRECTOR_CARGO}};FIRMA_DINAMICA_CONFIG;DIRECTOR_NOMBRE|DIRECTOR_CARGO;CFG_001|CFG_002;SI;El carácter | separa las líneas/celdas del bloque de firma.
